# Cola de tareas para DOMINEUM - una línea por tarea
# Formato: ID|TIPO|NOMBRE|RUTA_DOCX|INSTRUCCION
# TIPO: estado | pais | consolidado
# Las tareas se procesan en orden, de arriba hacia abajo

1|estado|Jalisco|/Users/admin/Google Drive/Mi unidad/DOMINEUM/DOMINEUM JALISCO/DOMINEUM JALISCO - Analisis de Viabilidad.docx|Investiga Jalisco (Guadalajara) como plaza para DOMINEUM, un holding de intermediación inmobiliaria en distress. Ya tiene presencia con Márquez & Asociados (~22 propiedades, ~105M MXN). IMPORTANTE: NO uses subagentes para web search, haz TODAS las búsquedas tú directamente. Investiga estos 4 bloques: (1) Volumen de mercado: cartera vencida hipotecaria CNBV, INFONAVIT/FOVISSSTE morosidad, precios promedio vivienda SHF, propiedades adjudicadas por bancos. (2) Marco legal local: código civil estatal cesión de derechos, RPP tiempos y costos, aranceles notariales e ISAI, JCL y mediación. (3) Competencia: despachos de recuperación inmobiliaria, intermediarios de distress, sofisticación del mercado. (4) Entorno: perfil de abogados inmobiliarios, costos de oficina, salarios abogados junior. Genera un documento .docx profesional con: resumen ejecutivo, mercado en distress, marco legal (diferencias vs Yucatán), competencia, perfil del socio ideal, forma de entrada recomendada, economía por operación ajustada, infraestructura y costos, riesgos + mitigaciones, recomendación final. Guarda en: /Users/admin/Google Drive/Mi unidad/DOMINEUM/DOMINEUM JALISCO/DOMINEUM JALISCO - Analisis de Viabilidad.docx

2|estado|Nuevo León|/Users/admin/Google Drive/Mi unidad/DOMINEUM/DOMINEUM NUEVO LEON/DOMINEUM NUEVO LEON - Analisis de Viabilidad.docx|Investiga Nuevo León (Monterrey) como plaza para DOMINEUM, un holding de intermediación inmobiliaria en distress. Es candidata del Blueprint V2, valores inmobiliarios altos. IMPORTANTE: NO uses subagentes para web search, haz TODAS las búsquedas tú directamente. Primero crea la carpeta /Users/admin/Google Drive/Mi unidad/DOMINEUM/DOMINEUM NUEVO LEON/ si no existe. Investiga estos 4 bloques: (1) Volumen de mercado: cartera vencida hipotecaria CNBV, INFONAVIT/FOVISSSTE morosidad, precios promedio vivienda SHF, propiedades adjudicadas por bancos. (2) Marco legal local: código civil estatal cesión de derechos, RPP tiempos y costos, aranceles notariales e ISAI, JCL y mediación. (3) Competencia: despachos de recuperación inmobiliaria, intermediarios de distress, sofisticación del mercado. (4) Entorno: perfil de abogados inmobiliarios, costos de oficina, salarios abogados junior. Genera un documento .docx profesional con: resumen ejecutivo, mercado en distress, marco legal (diferencias vs Yucatán), competencia, perfil del socio ideal, forma de entrada recomendada, economía por operación ajustada, infraestructura y costos, riesgos + mitigaciones, recomendación final. Guarda en: /Users/admin/Google Drive/Mi unidad/DOMINEUM/DOMINEUM NUEVO LEON/DOMINEUM NUEVO LEON - Analisis de Viabilidad.docx

3|estado|Querétaro|/Users/admin/Google Drive/Mi unidad/DOMINEUM/DOMINEUM QUERETARO/DOMINEUM QUERETARO - Analisis de Viabilidad.docx|Investiga Querétaro como plaza para DOMINEUM, un holding de intermediación inmobiliaria en distress. Es candidata del Blueprint V2, mercado emergente. IMPORTANTE: NO uses subagentes para web search, haz TODAS las búsquedas tú directamente. Primero crea la carpeta /Users/admin/Google Drive/Mi unidad/DOMINEUM/DOMINEUM QUERETARO/ si no existe. Investiga estos 4 bloques: (1) Volumen de mercado: cartera vencida hipotecaria CNBV, INFONAVIT/FOVISSSTE morosidad, precios promedio vivienda SHF, propiedades adjudicadas por bancos. (2) Marco legal local: código civil estatal cesión de derechos, RPP tiempos y costos, aranceles notariales e ISAI, JCL y mediación. (3) Competencia: despachos de recuperación inmobiliaria, intermediarios de distress, sofisticación del mercado. (4) Entorno: perfil de abogados inmobiliarios, costos de oficina, salarios abogados junior. Genera un documento .docx profesional con: resumen ejecutivo, mercado en distress, marco legal (diferencias vs Yucatán), competencia, perfil del socio ideal, forma de entrada recomendada, economía por operación ajustada, infraestructura y costos, riesgos + mitigaciones, recomendación final. Guarda en: /Users/admin/Google Drive/Mi unidad/DOMINEUM/DOMINEUM QUERETARO/DOMINEUM QUERETARO - Analisis de Viabilidad.docx

4|estado|Estado de México|/Users/admin/Google Drive/Mi unidad/DOMINEUM/DOMINEUM EDOMEX/DOMINEUM EDOMEX - Analisis de Viabilidad.docx|Investiga Estado de México (Ecatepec, Naucalpan, Tlalnepantla) como plaza para DOMINEUM, un holding de intermediación inmobiliaria en distress. Mencionada en Blueprint para Año 5, volumen enorme. IMPORTANTE: NO uses subagentes para web search, haz TODAS las búsquedas tú directamente. Primero crea la carpeta /Users/admin/Google Drive/Mi unidad/DOMINEUM/DOMINEUM EDOMEX/ si no existe. Investiga estos 4 bloques: (1) Volumen de mercado: cartera vencida hipotecaria CNBV, INFONAVIT/FOVISSSTE morosidad, precios promedio vivienda SHF, propiedades adjudicadas por bancos. (2) Marco legal local: código civil estatal cesión de derechos, RPP tiempos y costos, aranceles notariales e ISAI, JCL y mediación. (3) Competencia: despachos de recuperación inmobiliaria, intermediarios de distress, sofisticación del mercado. (4) Entorno: perfil de abogados inmobiliarios, costos de oficina, salarios abogados junior. Genera un documento .docx profesional con: resumen ejecutivo, mercado en distress, marco legal (diferencias vs Yucatán), competencia, perfil del socio ideal, forma de entrada recomendada, economía por operación ajustada, infraestructura y costos, riesgos + mitigaciones, recomendación final. Guarda en: /Users/admin/Google Drive/Mi unidad/DOMINEUM/DOMINEUM EDOMEX/DOMINEUM EDOMEX - Analisis de Viabilidad.docx

5|estado|Puebla|/Users/admin/Google Drive/Mi unidad/DOMINEUM/DOMINEUM PUEBLA/DOMINEUM PUEBLA - Analisis de Viabilidad.docx|Investiga Puebla como plaza para DOMINEUM, un holding de intermediación inmobiliaria en distress. Es candidata para la quinta plaza nacional. IMPORTANTE: NO uses subagentes para web search, haz TODAS las búsquedas tú directamente. Primero crea la carpeta /Users/admin/Google Drive/Mi unidad/DOMINEUM/DOMINEUM PUEBLA/ si no existe. Investiga estos 4 bloques: (1) Volumen de mercado: cartera vencida hipotecaria CNBV, INFONAVIT/FOVISSSTE morosidad, precios promedio vivienda SHF, propiedades adjudicadas por bancos. (2) Marco legal local: código civil estatal cesión de derechos, RPP tiempos y costos, aranceles notariales e ISAI, JCL y mediación. (3) Competencia: despachos de recuperación inmobiliaria, intermediarios de distress, sofisticación del mercado. (4) Entorno: perfil de abogados inmobiliarios, costos de oficina, salarios abogados junior. Genera un documento .docx profesional con: resumen ejecutivo, mercado en distress, marco legal (diferencias vs Yucatán), competencia, perfil del socio ideal, forma de entrada recomendada, economía por operación ajustada, infraestructura y costos, riesgos + mitigaciones, recomendación final. Guarda en: /Users/admin/Google Drive/Mi unidad/DOMINEUM/DOMINEUM PUEBLA/DOMINEUM PUEBLA - Analisis de Viabilidad.docx

